TEST PASSED: TEST ADVENTURER CARD: coins before = 4, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 6, coins after = 6
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
TEST FAILED: TEST ADVENTURER CARD: coins before = 2, coins after = 2
